state,cigarette,bidi,gutka_zarda,leaf_tobacco
Andaman & Nicobar,18.98,1.75,70.95,8.32
Andhra Pradesh,72.59,19.63,3.51,4.17
Arunachal Pradesh,50,8.14,36.52,5.33
Assam,29.02,7.79,49.96,13.21
Bihar,12.31,0.98,55.13,31.46
Chandigarh,92.29,5.6,2.01,0
Chhattisgarh,19.46,8.66,64.32,7.54
Daman & Diu,8.59,3.73,71.63,16.03
Delhi,62.38,13.73,22.02,1.19
Haryana,27.1,52.44,8.44,0.42
Himachal Pradesh,21.27,67.74,7.27,3.72
Jammu & Kashmir,77.32,14.82,1.72,0.42
Jharkhand,20.47,3.13,39.05,37.32
Karnataka,46.51,14.28,34.41,4.57
Kerala,83.18,16.46,0.11,0.25
Ladakh,89.96,8,1.01,0.06
Lakshadweep,77.22,13.81,0.37,7.77
Madhya Pradesh,11.24,14.96,68.77,4.98
Maharashtra,12.64,5.19,55.69,25.7
Meghalaya,57.07,31.74,1.9,4.96
Mizoram,93.81,0.82,1.93,3.43
Nagaland,15.87,16.49,61.25,6.34
Odisha,9.97,3.56,71.04,15.37
Puducherry,95.04,4.96,0,0
Punjab,30.61,30.63,33.87,4.64
Rajasthan,5.57,45.43,43.82,3.08
Sikkim,73.32,2.18,23.84,0.66
Tamil Nadu,75.62,16.5,2.12,5.55
Telangana,79.37,9.03,9.85,1.75
Tripura,35.08,25.79,30.66,5.54
Uttar Pradesh,15.17,20.57,54.01,9.64
Uttarakhand,31.44,36.64,30.19,1.07
West Bengal,44.26,33.01,16.5,6.17
